Country Name,Life expectancy total population,Average Immunization,Medical doctors (number)
Spain,83.391822021226,96.53333333333335,186539.0
Sri Lanka,76.72339801520147,99.0,20463.0
Sudan,64.89244195648125,91.66666666666667,13264.0
Suriname,71.55091002040281,74.60000000000001,593.0
Sweden,82.523895292768,90.60000000000001,48191.2
Switzerland,83.567678244386,86.53333333333335,36183.6
Syrian Arab Republic,71.53617428670132,51.199999999999996,22485.0
Thailand,76.78064993799168,98.06666666666666,47680.8
Timor-Leste,69.01570973853003,79.33333333333333,918.5
Togo,60.47531481795973,79.66666666666667,505.8
Trinidad and Tobago,73.3104607460546,93.26666666666665,5511.75
Tunisia,76.34236205912802,91.93333333333334,14684.666666666666
Turkey,77.0941,97.33333333333333,150004.2
Uganda,62.408758044252544,89.2,9249.666666666666
United Arab Emirates,77.56014883916086,98.73333333333333,23108.4
Uruguay,77.64801940594225,94.39999999999999,15260.5
Vanuatu,70.25209856235237,82.46666666666667,46.0
Zambia,62.94261940783498,91.46666666666665,1770.0
Zimbabwe,60.60915493726263,88.93333333333334,2672.0
