Country,GDP,Per Capita,DPT Immunization,HepB3 Immunization,Measles Immunization,Hospital beds,Basic sanitation services,Urban population,Rural population,"Population, female (percent of total)",Medical doctors (number),Life expectancy total population
Fiji,5208758425.774978,5927.263038265548,99.0,99.0,96.0,2.006666666666667,97.957300578,55.7402,44.2598,49.628364276,747.0,67.31726460473871
Finland,254830630807.4728,46291.92406836,92.0,81.30778500851066,95.0,4.2163157894736845,99.447933932,85.3306,14.669400000000001,50.703895272,23525.25,81.7192263306
Fragile and conflict affected situations,1528576551858.774,1758.334139925916,66.95734556322932,66.83642973300257,65.00853408724365,2.9863456167669336,40.91348247866594,41.36614323989068,58.633856760109325,50.11468295,,61.877268085715265
France,2603339726148.766,38902.3893809581,96.2,90.0,90.2,6.174842105263158,98.65000764199999,80.18100000000001,19.819,51.63722443,209756.4,82.731173097336
French Polynesia,3447543203.02843,14324.1186592562,85.68526613821957,81.30778500851066,84.85472700613231,2.9863456167669336,97.11905162000001,61.7864,38.2136,49.22267613,,77.30628141290461
Gabon,15415643614.28916,7465.111829845521,74.0,74.0,63.2,3.2,49.2027242,88.9528,11.0472,48.928603504,1163.6666666666667,65.7627978514023
"Gambia, The",1570173247.8375401,707.2051555308137,93.0,93.0,92.0,1.0,46.507562972,60.589200000000005,39.4108,50.321880258,,61.492736732212904
Georgia,16283116338.592402,4370.825640584172,92.8,92.8,96.2,3.524,86.267496232,58.2374,41.7626,52.898583166,25117.8,73.63133336156609
Germany,3673828063212.6025,44496.32445077608,93.0,87.0,97.0,8.203555555555557,99.225077664,77.27459999999999,22.7254,50.688268064,351316.0,80.98290735232399
Ghana,60322988545.07826,2065.56171675029,94.8,94.8,91.4,0.9,20.90858095,55.4018,44.5982,50.124650042,3440.4,63.4522689674782
Greece,201012541807.0364,18681.13943960966,99.0,96.0,97.0,4.286105263157895,98.98315502599999,78.7206,21.2794,50.955186272000006,65329.8,81.59869735462
Grenada,1112710362.9629653,10034.389626991304,94.2,94.6,91.4,3.7922857088371424,91.42977064422222,36.1802,63.8198,49.81426132,158.0,72.51642913390344
Guam,6027400000.0,36648.487812322404,85.68526613821957,81.30778500851066,84.85472700613231,2.9863456167669336,89.98081768858826,94.6978,5.3022,49.46576151,,79.71892346264951
Guatemala,70024528992.70352,4347.809263523904,81.4,81.6,85.2,0.485,67.18611763599999,50.6926,49.3074,50.469026716,5429.0,73.78641763490964
Guinea,10617133177.244387,874.0753814393759,47.0,46.6,47.0,0.3,26.018836427999997,35.806799999999996,64.1932,50.782067508,1580.3333333333333,60.552185491670954
Guinea-Bissau,1304336052.515162,711.125659452616,87.2,87.2,85.8,0.85,15.95804231,42.9476,57.0524,50.739900727999995,299.6666666666667,57.622944519833915
Guyana,4694421658.698746,6053.701600263312,96.6,96.6,98.6,2.1168571428571425,85.6823309,26.5512,73.4488,50.89792362,1417.0,69.76316491167947
Haiti,15019456463.79604,1367.6829791636542,61.4,61.4,68.2,0.9033333333333331,34.712301442,54.3278,45.6722,50.369941668,1758.5,63.28837228981612
Heavily indebted poor countries (HIPC),721415829855.7256,948.6753682568109,76.9454818340985,76.86044510357269,72.87537213748098,0.747379659390703,26.881335082125798,35.552912118508935,64.44708788149106,50.165838966,,62.714268675886764
High income,51614478252126.64,43008.86617287092,95.28982444309206,79.00979673394647,93.72089422038334,5.380793212196144,99.43194123353632,81.20582216616997,18.79417783383004,50.260733332,,80.79996614933522
Honduras,22838389780.897438,2419.69956190128,91.6,91.6,92.8,0.6701818181818182,80.924265784,56.45219999999999,43.5478,49.456594502,4229.5,74.85442563756165
"Hong Kong SAR, China",339234664581.0856,45845.2013710364,85.68526613821957,81.30778500851066,84.85472700613231,2.9863456167669336,96.54371705,100.0,0.0,53.777673128,,84.928322574466
Hungary,144219200747.4698,14722.96382513924,99.0,81.30778500851066,99.0,7.083157894736841,97.990833952,71.0672,28.932799999999997,52.238837665999995,32351.8,76.141892694726
IBRD only,28421354864194.82,5986.442232234406,90.29903761768536,89.82210770299591,91.65576300659868,2.3192125724859833,80.34864708477531,54.404284073281154,45.595715926718825,49.43510767,,73.24108647802636
IDA & IBRD total,30498032192793.24,4804.219464635558,84.5535669592044,84.2349107461266,84.48534861562013,2.1527945524185457,70.53466485736242,49.89620272361626,50.10379727638374,49.58694397399999,,70.8979487223321
IDA blend,968649946766.8992,1805.5603714485478,67.48158425092458,67.49040978647778,66.89917588217313,1.1584780818770049,51.55402938828888,41.76506073713422,58.23493926286578,49.574442872,,61.87076924425763
IDA only,1108455971307.946,1043.0298602749074,79.15877881650219,79.0568755825806,75.85420170584827,2.9863456167669336,36.479044392815,33.82713502234655,66.17286497765345,50.249724634,,64.97165245684185
IDA total,2077105918074.8462,1299.2618120432921,75.18335641223737,75.11913482336755,72.80575146851008,2.9863456167669336,41.55666720035428,36.49764687048722,63.502353129512755,50.024817796,,63.929390414761556
Iceland,22832693586.0187,66072.20463822785,90.8,81.30778500851066,92.4,3.002,98.78213971800001,93.7752,6.2248,49.241123441999996,1329.6,82.565585779522
India,2524294924037.8936,1883.298650944284,89.0,89.0,90.6,0.5321176464988235,62.503852806,33.6122,66.3878,48.340213836,927447.0,69.15574389510891
Indonesia,993942626379.0482,3752.230116263152,84.6,84.6,88.4,0.9280000000000002,78.710785958,54.6542,45.3458,49.624657288,102454.5,71.2990216633788
"Iran, Islamic Rep.",360176499602.2234,4478.234972825429,98.8,98.8,99.0,1.5904444444444448,89.40923033199999,74.38419999999999,25.6158,49.364071212,,76.29377602582562
Iraq,196611781947.9654,5224.18146127781,78.8,78.8,80.2,1.3211111111111111,96.511590154,70.28880000000001,29.7112,50.03322471599999,29969.666666666668,70.28645382242749
Ireland,341753215471.2718,70872.75831907301,94.6,94.4,92.0,3.1789473684210523,91.239429472,62.9594,37.0406,50.495469576,15566.4,82.028534105194
Israel,349191151467.2314,39985.50573826244,96.6,96.0,97.8,3.0749473684210527,99.96323688,92.338,7.661999999999997,50.252210098,28893.6,82.579647206404
Italy,1953788383400.7961,32348.70224726536,94.4,94.0,90.2,3.287157894736842,99.88534074399999,70.1476,29.8524,51.39358849400001,239300.4,83.17224098086
Jamaica,14927319548.08584,5110.253795805178,95.2,95.0,92.8,1.711714285034286,86.267690058,55.393600000000006,44.6064,50.348466998,1355.6666666666667,74.31326973543455
Japan,4913023867558.872,38767.648453976064,98.0,99.0,96.4,13.203999999999999,99.934399774,91.5374,8.462600000000004,51.356579196000006,311755.5,84.24722816678141
Jordan,41464707690.14084,4256.92436680962,96.2,96.2,92.4,1.5375555555555556,97.31774218000001,90.7382,9.2618,47.99566982,25214.333333333332,74.27691710115418
Kazakhstan,169895947552.703,9419.683448503712,94.8,94.8,99.0,7.294666666666667,97.831786426,57.351800000000004,42.648199999999996,52.078399232,72678.0,72.7904219672982
